Date,Open,High,Low,Close,Adj Close,Volume
2022-06-15,6850.000000,6875.000000,6750.000000,6800.000000,6526.028809,8012700
2022-06-16,6800.000000,6850.000000,6700.000000,6800.000000,6526.028809,8840900
2022-06-17,6700.000000,6825.000000,6650.000000,6825.000000,6550.021484,20368400
2022-06-20,6800.000000,6900.000000,6725.000000,6900.000000,6622.000000,10905200
2022-06-21,6900.000000,6950.000000,6850.000000,6875.000000,6598.007324,7172600
2022-06-22,6925.000000,7000.000000,6850.000000,6975.000000,6693.978027,14873800
2022-06-23,7000.000000,7125.000000,6925.000000,7125.000000,6837.934570,18142900
2022-06-24,7150.000000,7175.000000,7000.000000,7075.000000,6789.949219,15927400
2022-06-27,7075.000000,7200.000000,7000.000000,7200.000000,6909.913086,9670700
2022-06-28,7175.000000,7250.000000,7125.000000,7250.000000,6957.898438,13067400
2022-06-29,7225.000000,7225.000000,7075.000000,7100.000000,6813.941895,10225300
2022-06-30,7075.000000,7150.000000,7025.000000,7050.000000,6765.956543,12205400
2022-07-01,7050.000000,7100.000000,6975.000000,7025.000000,6741.963379,6190600
2022-07-04,7025.000000,7050.000000,6725.000000,6825.000000,6550.021484,8577700
2022-07-05,6850.000000,7025.000000,6850.000000,6925.000000,6645.992676,7717600
2022-07-06,6925.000000,7000.000000,6800.000000,7000.000000,6717.970703,6837000
2022-07-07,7000.000000,7025.000000,6900.000000,6900.000000,6622.000000,6754100
2022-07-08,6950.000000,7025.000000,6925.000000,7025.000000,6741.963379,5318200
2022-07-11,7000.000000,7025.000000,6925.000000,7025.000000,6741.963379,2961000
2022-07-12,7050.000000,7100.000000,6975.000000,7050.000000,6765.956543,5209400
2022-07-13,7000.000000,7000.000000,6800.000000,6825.000000,6550.021484,10978800
2022-07-14,6825.000000,6950.000000,6800.000000,6925.000000,6645.992676,7611600
2022-07-15,6925.000000,6950.000000,6825.000000,6900.000000,6622.000000,4235000
2022-07-18,6900.000000,7050.000000,6875.000000,7050.000000,6765.956543,8349100
2022-07-19,7050.000000,7150.000000,7050.000000,7150.000000,6861.927246,10570700
2022-07-20,7150.000000,7175.000000,7075.000000,7100.000000,6813.941895,9147600
2022-07-21,7125.000000,7200.000000,7050.000000,7175.000000,6885.919922,12515300
2022-07-22,7175.000000,7200.000000,7050.000000,7050.000000,6765.956543,3703400
2022-07-25,7050.000000,7075.000000,7000.000000,7025.000000,6741.963379,4355300
2022-07-26,7025.000000,7050.000000,6950.000000,7000.000000,6717.970703,6311400
2022-07-27,7000.000000,7025.000000,6925.000000,7000.000000,6717.970703,7768600
2022-07-28,6950.000000,7000.000000,6875.000000,6900.000000,6622.000000,13846500
2022-07-29,6900.000000,6925.000000,6800.000000,6800.000000,6526.028809,17090700
2022-08-01,6825.000000,6925.000000,6825.000000,6900.000000,6622.000000,14285000
2022-08-02,6700.000000,6750.000000,6625.000000,6700.000000,6700.000000,11697200
2022-08-03,6675.000000,6675.000000,6525.000000,6575.000000,6575.000000,10883100
